U_Ga-4p,U_As-4p,a(A),Eg(eV),meff
6.5,-0.05,5.464462395991108,1.5252048882317888,0.09174171418768386
6.5,-0.1,5.465647252493547,1.5109859039088238,0.09115649211848717
6.55,-0.1,5.463823492580199,1.5208669144671785,0.09178496204205466
6.6,-0.1,5.462008813990381,1.530706417717042,0.09252435601252906
6.6,-0.15,5.463188561365365,1.5165335427996698,0.0920358731946794
6.65,-0.15,5.461376708923975,1.526376617216318,0.09263024232089857
6.65,-0.2,5.462555674835823,1.512229119237379,0.09204577172052925
6.7,-0.2,5.460747526980369,1.5220636240390146,0.09273976047811724
6.7,-0.25,5.461926081094201,1.5079404947180273,0.09215443276002926
6.75,-0.25,5.460119850147594,1.5177741961219022,0.092853295421394
6.8,-0.25,5.457994730629332,1.5289799406351627,0.09362699556097258
6.8,-0.3,5.459495382861439,1.5135009072299817,0.09297051067749701
6.85,-0.3,5.457366925328755,1.5247283041863045,0.09375077568273012
6.85,-0.35,5.4585872215525955,1.510471400388206,0.09315572766236474
6.9,-0.35,5.456742184739426,1.52049365911091,0.09387839587225728
6.95,-0.35,5.454908273281389,1.5304712440482913,0.09558777976237208
6.95,-0.4,5.456120211387857,1.5162770669088679,0.09400990794364117
7.0,-0.4,5.454288249593249,1.5262540297146,0.09473956268112997
7.0,-0.45,5.455500799632116,1.5120806014393045,0.09414544178473817
7.05,-0.45,5.453671335616827,1.5220539348460203,0.09488034733442056
7.05,-0.5,5.454884046240084,1.5079007909995379,0.09525937510106192
7.1,-0.5,5.453057953841679,1.517870120978107,0.09502503077608677
7.15,-0.5,5.45124260818757,1.527799601313302,0.0957671444552979
7.15,-0.55,5.452446721634906,1.5137069746920486,0.09517404416976934
7.2,-0.55,5.450635115613229,1.5236278562468129,0.0959213831526222
7.2,-0.6,5.451838678284961,1.5095610708760308,0.09532721542050258
7.25,-0.6,5.450029993884945,1.5194772632033982,0.0960799899248915
7.3,-0.6,5.448213970592665,1.5294292398214369,0.09683967011627212
7.3,-0.65,5.449426740098296,1.5153485440480623,0.09624327542511059
7.35,-0.65,5.447614585533211,1.525292141033057,0.09700826602849878
7.35,-0.7,5.448827156614353,1.5112345302842345,0.0964107793004263
7.4,-0.7,5.447018023378495,1.521172909615266,0.09718144186242059
7.4,-0.75,5.44822970982478,1.507142352734015,0.09658299426570961
7.45,-0.75,5.446422973924636,1.5170772836172175,0.09735962696059948
7.5,-0.75,5.444628063427008,1.5269681161184903,0.09813881793179871
7.5,-0.8,5.44583270006677,1.5129926163500453,0.09754197237255208
7.55,-0.8,5.444037863453752,1.5228900103709642,0.09832785799204728
7.55,-0.85,5.445243655064281,1.5089332168568848,0.09772945333594715
7.6,-0.85,5.443452393119213,1.5188221088421234,0.09852128593455156
7.65,-0.85,5.441669160921157,1.5286829123956014,0.09931685854171979
7.65,-0.9,5.442870245530906,1.5147710552266267,0.09871951154908748
7.7,-0.9,5.44108996716769,1.5246259132361544,0.09952142793512425
